SampleID,cg04866173,cg06951630,cg24435966,cg11099930,cg16086807,cg18800161,cg16250093,sampleType
1,0.184614774,0.875321971,0.311364843,0.029175476,0.730174433,0.037955657,0.914324404,DLB
2,0.208841042,0.900726215,0.345888518,0.036464461,0.654805468,0.050694535,0.901207825,Control
3,0.154348553,0.900516135,0.206769393,0.033853022,0.683892114,0.044175337,0.876892941,DLB
4,0.154130977,0.894254409,0.222540439,0.043789498,0.649462074,0.04360238,0.903635947,DLB
5,0.231617991,0.901341758,0.27764931,0.029400881,0.726641034,0.075596202,0.913019214,Control
6,0.168919976,0.88949149,0.266757807,0.025985807,0.745252273,0.057228304,0.89936937,DLB
7,0.215022452,0.904095779,0.313492338,0.032356686,0.783451196,0.054774876,0.901557997,Control
8,0.211313856,0.905951085,0.243127059,0.030958258,0.715562442,0.034464367,0.902678295,DLB
9,0.40919023,0.892247697,0.496281322,0.023747784,0.718586576,0.069013951,0.908714195,DLB
10,0.241456571,0.890457586,0.386961669,0.027950822,0.718559035,0.040312561,0.899746501,DLB
11,0.182833533,0.897447714,0.248879943,0.037596641,0.736891569,0.048781674,0.912306006,DLB
12,0.210564148,0.889778802,0.378223981,0.043856487,0.704027201,0.070092833,0.904322485,Control
13,0.198054302,0.896031372,0.325421856,0.028475254,0.756727852,0.083777201,0.905977018,DLB
14,0.159480468,0.889521622,0.236719297,0.029630999,0.723955346,0.06591506,0.886460315,DLB
15,0.314518318,0.909245031,0.34448961,0.037694805,0.674357234,0.062306491,0.87505828,Control
16,0.167541533,0.887792312,0.263191535,0.026837602,0.742092528,0.082636697,0.900549998,DLB
17,0.164970113,0.891830492,0.320031356,0.029010046,0.717908637,0.046663705,0.902325227,DLB
18,0.226103688,0.905447504,0.293126139,0.038489897,0.659637094,0.068607591,0.896112129,DLB
19,0.219681816,0.881793231,0.234961378,0.033417856,0.717903711,0.07218519,0.882651037,Control
20,0.211744006,0.851212454,0.373772926,0.030216624,0.747482582,0.094905733,0.908454652,Control
21,0.145928398,0.892505159,0.256744413,0.031611447,0.747618596,0.035866355,0.891380728,DLB
22,0.232600658,0.905144881,0.412757896,0.033254187,0.645606098,0.080530205,0.893027292,Control
23,0.240891811,0.886890507,0.333125155,0.042865493,0.66363208,0.058685489,0.861147777,Control
24,0.229102126,0.888774628,0.334310657,0.027234872,0.772113503,0.058047644,0.914231681,DLB
25,0.190686796,0.857741717,0.280855196,0.034132713,0.683748254,0.019118384,0.884755697,Control
26,0.310310729,0.894168517,0.411474056,0.042714347,0.679518247,0.098845222,0.887591244,Control
27,0.185177976,0.901682979,0.381621173,0.03855699,0.748009622,0.053091664,0.918152067,DLB
28,0.197088514,0.902484879,0.317693417,0.033563598,0.740264822,0.037171761,0.895558661,DLB
29,0.281203339,0.896511534,0.43685269,0.036429075,0.667222878,0.059506564,0.867724559,Control
30,0.410690729,0.891335533,0.413738373,0.029940508,0.722905333,0.045519173,0.902698359,DLB
31,0.27789535,0.899422334,0.411827788,0.033800044,0.718627257,0.047722017,0.89823714,Control
32,0.295245739,0.881046256,0.336834498,0.036910138,0.726841927,0.018845537,0.878556474,Control
33,0.319105627,0.886523166,0.309728536,0.029931546,0.807845516,0.053431658,0.894993501,Control
34,0.158800827,0.886108182,0.284179802,0.03086946,0.663104219,0.043978535,0.882528352,Control
35,0.200716802,0.893230709,0.30183585,0.036583821,0.715882012,0.058331795,0.907571954,Control
36,0.235171642,0.889442109,0.347666603,0.025103559,0.756636132,0.059928853,0.905529473,Control
37,0.255474371,0.90084565,0.390149284,0.030132739,0.795014584,0.079175775,0.908934321,DLB
38,0.258392372,0.897347844,0.328170579,0.030100045,0.657089304,0.062167753,0.887828837,DLB
39,0.395945646,0.891643692,0.442176513,0.0277222,0.770675141,0.045597036,0.902492473,Control
40,0.348470516,0.900883423,0.434255313,0.034480809,0.684558129,0.078228296,0.900931079,Control
41,0.174218482,0.889069589,0.230212306,0.029446586,0.726778255,0.040059079,0.901506897,DLB
42,0.273815137,0.869396323,0.362836911,0.030622493,0.637222092,0.06162499,0.854355261,Control
43,0.174219127,0.882243792,0.315090994,0.029777516,0.711537942,0.033716902,0.893410001,DLB
44,0.205434211,0.895487441,0.42939816,0.025947763,0.663573987,0.06394231,0.882805567,Control
45,0.128871625,0.837093737,0.213260491,0.033178895,0.740002878,0.022103114,0.875922105,DLB
46,0.206538534,0.896215987,0.387071137,0.042123404,0.67136582,0.074945085,0.920580086,DLB
47,0.314681186,0.898287196,0.40131247,0.032820825,0.706413758,0.061703305,0.900633765,Control
48,0.191822027,0.896799401,0.299622448,0.028521267,0.666912433,0.042631476,0.90788994,DLB
49,0.212333595,0.88666139,0.36767183,0.032141839,0.695678755,0.08778529,0.89072317,Control
50,0.313071507,0.893205013,0.338490345,0.035463643,0.708764592,0.083694922,0.895279634,Control
51,0.178856483,0.884231825,0.240848737,0.033889807,0.743916694,0.039405577,0.912631091,DLB
52,0.176860555,0.890451206,0.323313848,0.040930024,0.659400171,0.100761185,0.874063495,DLB
53,0.236872626,0.887276836,0.35048833,0.032003004,0.772656158,0.097604845,0.90764836,DLB
54,0.265699967,0.856676719,0.462937984,0.040145489,0.659572791,0.024247521,0.865509346,DLB
55,0.229637181,0.853735852,0.332329118,0.032614262,0.672410441,0.07033916,0.884088788,Control
56,0.195246267,0.873758788,0.261994823,0.038814251,0.750450628,0.020739779,0.8785824,Control
57,0.188806408,0.855452408,0.330635506,0.028989189,0.765635187,0.057979045,0.91094405,Control
58,0.15997702,0.886748663,0.239195236,0.03246218,0.722000046,0.046001884,0.900936457,DLB
59,0.251433995,0.908926613,0.346003199,0.034067104,0.759732065,0.059165414,0.914776919,Control
60,0.247036169,0.892225863,0.350264415,0.02664146,0.731673916,0.062617741,0.924646242,DLB
61,0.257017192,0.885534089,0.38135807,0.032527642,0.760580678,0.047152722,0.886936794,DLB
62,0.198200392,0.865941234,0.2371118,0.029652367,0.72747397,0.022326482,0.898595274,Control
63,0.296931432,0.871806505,0.330645433,0.031552644,0.759306604,0.037923517,0.883681051,DLB
64,0.214225441,0.893103506,0.313048186,0.03229275,0.751875144,0.087261109,0.893828631,DLB
65,0.241879773,0.907444259,0.381540078,0.034778232,0.737772558,0.045141749,0.902576927,Control
66,0.214394804,0.901937841,0.222921013,0.02720545,0.670541568,0.071558447,0.906506931,Control
67,0.707505338,0.891352839,0.82084986,0.031766172,0.708613734,0.131557227,0.866174416,DLB
68,0.18446403,0.890817567,0.312987253,0.034597026,0.768277566,0.041141273,0.899958414,Control
69,0.229363806,0.897411085,0.370467122,0.028536862,0.785483907,0.057599601,0.919341047,Control
